,id,created_at,text,fav,RT,rate
1106,9.76360062758175E+017,2018-03-21 07:29:13,画像のURLを入れると、それに似たAV女優の名前、合致度と、DMMの出演している動画リストが見れるページのリンクを返す、変態博士が完成したぞ。 https://t.co/gHUj6qH24P,29722,18311,61.6075634210349
313,9.88815476229751E+017,2018-04-24 16:22:35,まだ全然できていませんが、めっちゃくちゃ需要がありそうなので、文字起こし君のチュートリアル作ることにしました。まだ完成したソースコードのっけただけですが、これからどんどん書き足していきます。最初は1980円で販売しますが、購入者が… https://t.co/Ot0sPUSKUV,886,243,27.4266365688488
451,9.86926786159104E+017,2018-04-19 11:17:36,【100RTいったら作ります】PythonのWebフレームワークFlaskを利用した、ローカルで動くツイッター自動いいね+フォロワー分析アプリの作り方を、0から解説したいと思います。かなりの文量になりそうなので、需要があればや… https://t.co/HAifyky8AV,223,119,53.3632286995516
1030,9.77788745167421E+017,2018-03-25 06:06:17,技術的な情報はオープンにすべきだと思うけど、ちゃんとしたチュートリアル書くのって相当モチベーションないとできないのよね。大変だから。だからnoteでチュートリアルをマネタイズできる仕組み作ってくれたの、めっちゃくちゃありがたい。日… https://t.co/J94qIezBC9,152,47,30.9210526315789
250,9.89443987567071E+017,2018-04-26 10:00:04,記事のタイトルをAIにするメリットは・偏差値70の人が「これAIじゃないでしょ」と拡散する・偏差値30の人が「わーAIすごぃー」と拡散するつまりどっちのパイも取れるわけです。これをコテコテの技術用語にすると偏差値80くらいの狭い集団にしか届きません。,150,36,24
157,9.90406857989632E+017,2018-04-29 01:46:10,【100RTいったらやります】『技術チュートリアルのマーケティング論』書こうと思うのですが、需要ありますかね。先月26万、今月76万稼いでいるので再現性はあるかとは思います。エンジニアリング X マーケティングができると作って… https://t.co/zF72Ta9Tyo,137,110,80.2919708029197
414,9.87675041729933E+017,2018-04-21 12:50:54,お金に縛られない環境を作る努力をすると、結果として逆にお金が増えてきやすい環境になる。お金に縛られると、時間投資でその場しのぎし、人間はクリエイティブに時間を使えなる。時間で解決しようとすると絶対に赤くなる。若いうちで余裕があるときこそ二毛作でクリエイティブに時間を投資すべき。,110,40,36.3636363636364
262,9.89276956851032E+017,2018-04-25 22:56:21,プログラミングって寿命を延ばす薬だと思うんだよなぁ。今までルーティンで死んでいた時間を排除して、生きている感覚を得られるような時間をプログラミングで得られるなら。そしてその寿命を延ばせる領域は、エンジニアリング意外の仕事が大きそう。例えば保育とか。,99,27,27.2727272727273
956,9.79324367657059E+017,2018-03-29 11:48:18,労働ってなんだ。仕事終わった後にシコシコとスケベなネタ書いているだけで20万円入るのに、それの3倍以上の時間かけて正社員で働く意義ってなんだ。なんかわからなくなってきてしまった。働くってなんだ。 https://t.co/5jd1d5cHji,94,30,31.9148936170213
296,9.89103387428848E+017,2018-04-25 11:26:38,47000人がたった1人のおじさんに仕事を押し付けたせいでニートになってしまったみたいなので、是非みみなさまがオリジナルの文字おこしくん作ってください https://t.co/dv3XBHlYK5,93,21,22.5806451612903
299,9.88968301530304E+017,2018-04-25 02:29:51,基本的にバズってるアプリは全部マッシュアップアプリなので、こういうの作ってみたい人はぜひ！https://t.co/zj3i6tbAfh,90,12,13.3333333333333
322,9.88798391801921E+017,2018-04-24 15:14:42,ちなみに今回実装したのは、Google Apps Scriptだけです。サーバレスの環境で作ってます。こんな簡単に作れるのに何でみんな作らないんだろうか不思議でたまらない。Web APIのマッシュアップアプリなんてHTTPの通信さ… https://t.co/WtUB3KBX9v,90,15,16.6666666666667
31,9.91251710218723E+017,2018-05-01 09:43:18,日本人のほとんどが「自分のキャリアを線形で予測できる」という前提でキャリア論を話してるけど、それよりも不確実性の中で最適化する方がよっぽど大事だと思うなぁ。人生は線形予測できるものではなく、機械学習していくものなんじゃないかと思う。,89,12,13.4831460674157
1052,9.77343174300418E+017,2018-03-24 00:35:45,noteでスケベAIの作り方まとめたら読みたい人いますか。電子書籍化して出そうかと考えています。 https://t.co/ZJ2zF8htzf,81,15,18.5185185185185
1212,9.74851099533324E+017,2018-03-17 03:33:08,人間は情報がリッチになるほど、情報に対する想像力がなくなるから刺激が少なくなる。最高の拡張現実は振動通知って話とても面白かった。AVより官能小説の方がエロいのとも似てる気がする。ドラクエのドット絵好きもそうだなぁ。,75,41,54.6666666666667
1062,9.77322699004391E+017,2018-03-23 23:14:23,前に落合陽一さんの本で、「魔術を一つも知らない(ブラックボックスの中身がわからない)人は、コンピューターの下請け、もしくはインターフェイスになる」とおっしゃっていたんだけど、今回インターフェイスのデザインって結構キモなんだと思った… https://t.co/Kp1wOvC4l6,73,34,46.5753424657534
311,9.88817212982022E+017,2018-04-24 16:29:29,「LINEじゃなくてもできる」っていう意見が多いのですが、最先端の技術は民主化されなければ利用されません。そこらへんのおじいちゃんや中学生連れてきてできるかって考えると、まだGoogle DocumentもOffice Lensで… https://t.co/Ke3wczWBEz,71,31,43.6619718309859
978,9.78637474699227E+017,2018-03-27 14:18:50,これめっちゃいい。すっげぇ興奮する。中学生、高校生のころのこのころのエネルギーってマジでわくわくするよなぁ。https://t.co/3bgZikNNqz,70,29,41.4285714285714
244,9.89451475972645E+017,2018-04-26 10:29:49,ちょっとしたアイディアも、作って(プログラミング)売れる(マーケティング)時代、さくっとプロトタイプ作れるのってめっちゃくちゃ大事なんですよね。例えば文字おこし君なんてものも、２日で30万円の売り上げがあるわけで。プログラミングはエンジニアだけのためにあるわけではないってことです,69,12,17.3913043478261
913,9.79915263687602E+017,2018-03-31 02:56:19,僕は今こういう病気にかかっています。助けてください。 https://t.co/JlP1ryuVf7,69,18,26.0869565217391
300,9.88968140921958E+017,2018-04-25 02:29:13,もう機械学習はWeb API使えば中身ブラックボックスでも十分使えます。Googleなどの膨大なデータをもとにかなり精度の良いもの提供してくれるので。意思決定のための分析レベルではまだ無理ですが、実装レベルではもう民主化されてますhttps://t.co/zj3i6tbAfh,69,11,15.9420289855072
256,9.89336040409219E+017,2018-04-26 02:51:07,「文系だからできない」なんてことはないですよ！よっぽど大規模な開発でなければ、プログラミングで数学関わるところはほとんどないので。適切な手順で、適切な学習で学べば、独学でも2年あれば文字起こし君くらいは簡単に作れます(ソースは僕)https://t.co/NyFC0h5JdK,68,11,16.1764705882353
257,9.89332419428762E+017,2018-04-26 02:36:44,エンジニアからみたら「え、これがAI？バロスwww」て感じだけど、利用者からみたらごりごり社内でデータ環境整えて複雑な分析してようが、機械学習API使ってようが大差ないんだよなぁ。,67,9,13.4328358208955
252,9.89442240270352E+017,2018-04-26 09:53:07,「文字おこし君、AIじゃなくない？」ってツイートくるんですけど、それを狙ってます。同じコンテンツでも、「Line Messaging APIを利用した、OCRアプリを作ってみたよー」じゃ多分バズらないです。プラスにもマイナスにも感情を動かして拡散させないと書いた意味がない。,64,14,21.875
235,9.89508438605484E+017,2018-04-26 14:16:10,消費する趣味を覚えてしまったら、永遠にお金は必要になるんだろうけど、趣味が音楽とプログラミングしかないからひたすら生産する趣味しかないので勝手に貯まる。お金が欲しい人は生産する趣味を覚えて消費を減らし、遊んだ結果お金を稼げるように… https://t.co/OZl2qhErzx,59,18,30.5084745762712
135,9.90507875368714E+017,2018-04-29 08:27:34,noteで記事が売れるかは、日々のツイートで検証するとよいです。ツイートした内容のいいねが多かったり、RTが多いということはそれだけ情報に価値があるということの証明ですし、逆にツイートの内容がスルーされるようだったらnoteでも売れないです。スモールスタートで仮説検証しましょう。,58,8,13.7931034482759
153,9.90409271740318E+017,2018-04-29 01:55:45,世の中には創れる人がめっちゃくちゃいるのに、マージン取られすぎてて消耗しているのマジで社会構造歪んでる気がするんだよな。創れる人が売れるようになれば、その構造がぶっ壊れるので、クリエイターが個人で創って売れる世界を創れれば、本当に個人の世界にできそうなんだよなぁ,57,9,15.7894736842105
